Id,PostId,CreationDate,UserId
3,1,2011-11-30 00:00:00.000,231
4,2,2011-11-30 00:00:00.000,423
5,3,2011-11-30 00:00:00.000,1269
7,5,2011-11-30 00:00:00.000,1013
8,4,2011-11-30 00:00:00.000,1065
9,5,2011-11-30 00:00:00.000,805
10,4,2011-11-30 00:00:00.000,197
11,4,2011-11-30 00:00:00.000,1298
12,1,2011-11-30 00:00:00.000,571
13,5,2011-11-30 00:00:00.000,116
14,4,2011-11-30 00:00:00.000,482
16,7,2011-11-30 00:00:00.000,751
17,7,2011-11-30 00:00:00.000,39
18,5,2011-11-30 00:00:00.000,473
19,9,2011-11-30 00:00:00.000,1065
20,4,2011-11-30 00:00:00.000,1626
21,3,2011-11-30 00:00:00.000,233
22,1,2011-11-30 00:00:00.000,556
23,2,2011-11-30 00:00:00.000,666
24,4,2011-11-30 00:00:00.000,678
25,1,2011-11-30 00:00:00.000,22
26,12,2011-11-30 00:00:00.000,167
27,11,2011-11-30 00:00:00.000,503
28,1,2011-11-30 00:00:00.000,186
29,2,2011-11-30 00:00:00.000,851
30,13,2011-11-30 00:00:00.000,138
31,5,2011-11-30 00:00:00.000,1308
33,3,2011-11-30 00:00:00.000,695
34,4,2011-11-30 00:00:00.000,328
35,8,2011-11-30 00:00:00.000,596
37,4,2011-11-30 00:00:00.000,1197
40,1,2011-11-30 00:00:00.000,544
41,11,2011-11-30 00:00:00.000,526
42,10,2011-11-30 00:00:00.000,94
44,11,2011-11-30 00:00:00.000,150
46,5,2011-11-30 00:00:00.000,425
47,3,2011-11-30 00:00:00.000,1760
49,5,2011-11-30 00:00:00.000,1797
50,5,2011-11-30 00:00:00.000,1109
51,14,2011-11-30 00:00:00.000,749
52,14,2011-11-30 00:00:00.000,551
53,13,2011-11-30 00:00:00.000,1223
54,13,2011-11-30 00:00:00.000,1689
55,11,2011-11-30 00:00:00.000,1757
57,4,2011-11-30 00:00:00.000,662
59,7,2011-11-30 00:00:00.000,140
60,9,2011-11-30 00:00:00.000,1434
62,13,2011-11-30 00:00:00.000,667
64,20,2011-11-30 00:00:00.000,626
65,19,2011-11-30 00:00:00.000,1171
66,18,2011-11-30 00:00:00.000,1435
67,16,2011-11-30 00:00:00.000,202
68,12,2011-11-30 00:00:00.000,1485
69,17,2011-11-30 00:00:00.000,653
71,5,2011-11-30 00:00:00.000,1754
72,11,2011-11-30 00:00:00.000,171
74,16,2011-11-30 00:00:00.000,1037
76,22,2011-11-30 00:00:00.000,785
77,23,2011-11-30 00:00:00.000,1727
81,23,2011-11-30 00:00:00.000,494
84,9,2011-11-30 00:00:00.000,1486
86,11,2011-11-30 00:00:00.000,1104
88,13,2011-11-30 00:00:00.000,489
89,17,2011-11-30 00:00:00.000,1361
90,5,2011-11-30 00:00:00.000,311
92,9,2011-11-30 00:00:00.000,585
93,23,2011-11-30 00:00:00.000,406
94,20,2011-11-30 00:00:00.000,1699
95,14,2011-11-30 00:00:00.000,1303
96,5,2011-11-30 00:00:00.000,127
97,18,2011-11-30 00:00:00.000,547
98,18,2011-11-30 00:00:00.000,1532
99,18,2011-11-30 00:00:00.000,817
100,18,2011-11-30 00:00:00.000,891
101,26,2011-11-30 00:00:00.000,103
103,26,2011-11-30 00:00:00.000,1238
104,12,2011-11-30 00:00:00.000,37
106,20,2011-11-30 00:00:00.000,454
107,10,2011-11-30 00:00:00.000,1403
108,18,2011-11-30 00:00:00.000,918
109,18,2011-11-30 00:00:00.000,1037
110,18,2011-11-30 00:00:00.000,124
111,10,2011-11-30 00:00:00.000,218
112,29,2011-11-30 00:00:00.000,1515
113,5,2011-11-30 00:00:00.000,594
114,4,2011-11-30 00:00:00.000,894
115,11,2011-11-30 00:00:00.000,204
116,1,2011-11-30 00:00:00.000,631
117,13,2011-11-30 00:00:00.000,1078
118,3,2011-11-30 00:00:00.000,1069
119,20,2011-11-30 00:00:00.000,987
120,23,2011-11-30 00:00:00.000,1049
122,12,2011-11-30 00:00:00.000,1538
123,31,2011-11-30 00:00:00.000,1524
124,28,2011-11-30 00:00:00.000,865
125,29,2011-11-30 00:00:00.000,1491
126,8,2011-11-30 00:00:00.000,379
127,33,2011-11-30 00:00:00.000,1163
128,30,2011-11-30 00:00:00.000,1058
129,30,2011-11-30 00:00:00.000,303
132,34,2011-11-30 00:00:00.000,1588
133,33,2011-11-30 00:00:00.000,1697
134,33,2011-11-30 00:00:00.000,1078
135,36,2011-11-30 00:00:00.000,117
136,37,2011-11-30 00:00:00.000,749
137,33,2011-11-30 00:00:00.000,1160
138,11,2011-11-30 00:00:00.000,1722
139,12,2011-11-30 00:00:00.000,1110
140,35,2011-12-01 00:00:00.000,118
141,33,2011-12-01 00:00:00.000,654
142,35,2011-12-01 00:00:00.000,38
145,12,2011-12-01 00:00:00.000,1381
146,33,2011-12-01 00:00:00.000,1605
148,29,2011-12-01 00:00:00.000,537
149,36,2011-12-01 00:00:00.000,302
150,37,2011-12-01 00:00:00.000,996
151,38,2011-12-01 00:00:00.000,1613
152,42,2011-12-01 00:00:00.000,1017
154,37,2011-12-01 00:00:00.000,1321
157,28,2011-12-01 00:00:00.000,941
158,32,2011-12-01 00:00:00.000,1251
159,38,2011-12-01 00:00:00.000,23
160,36,2011-12-01 00:00:00.000,1536
161,18,2011-12-01 00:00:00.000,507
162,35,2011-12-01 00:00:00.000,1382
163,24,2011-12-01 00:00:00.000,347
164,15,2011-12-01 00:00:00.000,923
165,2,2011-12-01 00:00:00.000,79
166,25,2011-12-01 00:00:00.000,738
167,16,2011-12-01 00:00:00.000,501
168,8,2011-12-01 00:00:00.000,804
169,17,2011-12-01 00:00:00.000,1488
170,32,2011-12-01 00:00:00.000,1695
171,31,2011-12-01 00:00:00.000,1309
172,28,2011-12-01 00:00:00.000,1197
173,37,2011-12-01 00:00:00.000,638
174,21,2011-12-01 00:00:00.000,925
175,38,2011-12-01 00:00:00.000,976
176,30,2011-12-01 00:00:00.000,957
177,28,2011-12-01 00:00:00.000,786
178,25,2011-12-01 00:00:00.000,1434
179,44,2011-12-01 00:00:00.000,1158
180,43,2011-12-01 00:00:00.000,28
181,7,2011-12-01 00:00:00.000,92
182,7,2011-12-01 00:00:00.000,457
183,39,2011-12-01 00:00:00.000,1705
184,29,2011-12-01 00:00:00.000,602
185,33,2011-12-01 00:00:00.000,1604
186,1,2011-12-01 00:00:00.000,1308
187,4,2011-12-01 00:00:00.000,273
188,28,2011-12-01 00:00:00.000,913
189,33,2011-12-01 00:00:00.000,1312
190,46,2011-12-01 00:00:00.000,238
191,48,2011-12-01 00:00:00.000,359
192,16,2011-12-01 00:00:00.000,310
193,49,2011-12-01 00:00:00.000,67
194,47,2011-12-01 00:00:00.000,1485
195,51,2011-12-01 00:00:00.000,375
196,48,2011-12-01 00:00:00.000,812
197,50,2011-12-01 00:00:00.000,271
198,46,2011-12-01 00:00:00.000,1158
199,39,2011-12-01 00:00:00.000,1380
200,42,2011-12-01 00:00:00.000,150
201,38,2011-12-01 00:00:00.000,690
202,33,2011-12-01 00:00:00.000,465
203,30,2011-12-01 00:00:00.000,557
204,34,2011-12-01 00:00:00.000,25
205,23,2011-12-01 00:00:00.000,1064
207,20,2011-12-01 00:00:00.000,1082
208,13,2011-12-01 00:00:00.000,259
209,53,2011-12-01 00:00:00.000,136
211,37,2011-12-01 00:00:00.000,1642
213,52,2011-12-01 00:00:00.000,1020
214,54,2011-12-01 00:00:00.000,1383
215,53,2011-12-01 00:00:00.000,1794
216,50,2011-12-01 00:00:00.000,211
217,53,2011-12-01 00:00:00.000,323
219,54,2011-12-01 00:00:00.000,624
220,48,2011-12-01 00:00:00.000,14
221,50,2011-12-01 00:00:00.000,980
222,46,2011-12-01 00:00:00.000,908
223,39,2011-12-01 00:00:00.000,1521
224,54,2011-12-01 00:00:00.000,1344
225,40,2011-12-01 00:00:00.000,509
226,41,2011-12-01 00:00:00.000,944
227,52,2011-12-01 00:00:00.000,202
229,50,2011-12-01 00:00:00.000,391
230,54,2011-12-01 00:00:00.000,755
231,39,2011-12-01 00:00:00.000,452
232,48,2011-12-01 00:00:00.000,985
233,45,2011-12-01 00:00:00.000,1095
